#,Rank,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,
1,F,0,0,0,0,2,6,0,6.4,6.4,
2,F,0,4,0,0,2,5,0,6.4,2.7,
3,P,3,8,5,4,3,9,4,8.6,6.4,
4,P,0,10,0,1,0,7,4,7.9,9.1,
5,F,0,6,7,0,3,0,2,5.7,5.5,
6,P,3,9.8,8,8,7,6,6,7.9,9.1,
7,P,0,8,5,0,6,8,0,0,5.5,
8,P,0,6,5,0,2,7,4,2.1,10,
9,P,3,6,6,3,7,8,4,2.1,9.1,
10,P,7,6,9,8,5,9,2,7.1,10,
11,F,0,8,3,0,1,7,0,0,4.5,
12,P,0,2,3,0,0,7,2,5,2.7,
13,F,0,0,5,0,2,5,6,0,9.1,
14,P,0,6,2,2,2,2,2,7.9,7.3,
15,P,3,10,7,7,5,9,2,9.3,9.1,
16,P,3,6.2,7,6,7,10,6,8.6,8.2,
17,P,0,2.1,0,0,0,6,6,4.3,6.4,
18,P,3,7.6,4,8,7,8,6,7.1,5.5,
19,P,1,6,4,0,7,6,6,2.9,5.5,
20,P,0,6.5,9,8,5,7,6,8.6,3.6,
21,P,4,8,9,0,6,9,6,7.9,9.1,
22,P,0,8,0,2,3,6,2,0,5.5,
23,P,0,4,5,5,5,8,4,9.3,7.3,
24,F,0,4,3,0,3,5,0,0,9.1,
25,P,0,8,6,0,6,8,6,7.9,3.6,
26,F,0,8.1,5,2,0,3,0,7.1,6.4,
27,P,0,4.8,8,2,3,10,2,7.1,9.1,
28,P,0,6.3,5,0,4,6,0,0,1.8,
29,P,5,7.7,9,6,7,10,8,7.9,10,
30,F,0,2,5,0,3,2,0,8.6,5.5,
31,F,1,4.2,5,5,0,4,0,4.3,2.7,
32,P,0,6,5,0,6,5,2,7.1,5.5,
33,P,2,8.7,6,1,4,8,4,5,8.2,
34,P,1,8,7,5,6,5,8,6.4,9.1,
35,F,0,4,3,0,3,5,0,5,4.5,
36,P,0,8,3,0,2,3,4,6.4,6.4,
37,P,2,8,7,6,7,5,0,5.7,5.5,
38,P,3,0,4,1,6,8,4,2.9,3.6,
39,P,1,8,0,9,7,9,8,9.3,9.1,
40,P,1,8,5,5,5,9,6,7.1,10,
41,F,6,6,0,0,0,0,0,0,0,
42,F,2,0,0,0,0,4,0,0,5.5,
43,P,5,10,0,5,8,10,2,9.3,9.1,
44,P,0,2,5,6,5,8,6,5.7,8.2,
45,F,1,7.8,4,8,5,10,6,8.6,0,
46,F,2,8.1,0,0,5,3,4,0,5.5,
47,P,4,6,4,8,4,7,8,7.9,8.2,
48,P,0,4,5,0,3,5,4,1.4,4.5,
49,P,6,0,0,2,4,9,4,9.3,9.1,
50,F,4,6.9,0,1,8,6,2,6.4,7.3,
51,P,3,6.8,6,1,4,4,4,2.9,6.4,
52,P,0,8,4,5,6,8,2,3.6,9.1,
53,F,0,0,2,1,6,0,4,6.4,5.5,
54,F,0,4,5,0,0,3,0,2.1,2.7,
55,P,3,0,5,5,6,6,6,5.7,5.5,
56,P,3,9.4,8,1,5,6,4,7.9,7.3,
57,P,3,6,4,5,0,5,2,5,9.1,
58,P,1,6.3,6,2,5,10,2,7.1,9.1,
59,F,0,0,0,0,0,0,0,0,0,
60,F,0,9.6,5,5,4,5,0,0,0,
61,P,1,10,3,1,5,6,4,7.1,7.3,
62,P,2,6,8,2,7,6,6,3.6,6.4,
63,P,1,2.1,2,1,3,4,4,1.4,4.5,
64,P,3,7.3,7,1,5,8,4,7.9,8.2,
65,P,4,6,5,8,4,10,6,8.6,7.3,
66,P,0,9.4,6,1,5,4,4,2.1,5.5,
67,F,0,0,7,0,3,0,0,0,5.5,
68,P,2,0,0,0,0,7,2,4.3,7.3,
69,P,0,8,7,2,3,8,6,7.1,9.1,
70,F,0,8.8,6,2,4,5,0,4.3,7.3,
71,F,1,9.6,10,9,5,7,4,8.6,8.2,
72,F,0,0,3,1,0,0,0,2.9,0.9,
73,P,3,6.3,7,4,5,8,4,5.7,7.3,
74,F,0,6,5,0,6,4,0,4.3,6.4,
75,F,0,4,1,0,0,0,0,0,0,
76,P,0,8.1,7,0,5,5,6,2.9,5.5,
77,P,4,0,3,2,6,0,0,6.4,9.1,
78,P,5,4,4,0,3,3,0,5.7,1.8,
79,P,4,8,8,6,8,10,4,5.7,6.4,
80,F,0,0,0,1,0,7,4,8.6,6.4,
81,F,4,0,5,2,6,10,4,6.4,7.3,
82,F,2,0,6,0,7,0,2,5.7,5.5,
83,P,5,8,4,10,1,6,6,7.1,8.2,
84,P,3,8,8,5,0,0,0,0,0,
85,F,5,7.4,8,6,6,8,4,8.6,9.1,
86,F,1,2.1,0,1,0,2,0,5.7,2.7,
87,P,2,0,6,8,9,5,6,7.9,9.1,
88,P,2,6,7,0,4,1,4,8.6,7.3,
89,F,1,6,6,0,4,8,2,0,0,
90,P,5,6.8,6,1,3,5,2,4.3,8.2,
91,F,3,6,3,1,6,9,4,8.6,6.4,
92,P,3,6,0,2,6,5,0,2.9,7.3,
93,F,5,10,6,10,6,8,6,8.6,10,
94,P,0,0,0,0,0,0,0,0,0,
95,F,0,6,1,1,3,5,4,0,7.3,
96,P,4,4,5,4,5,10,6,8.6,7.3,
97,P,6,6.6,6,6,5,8,6,7.1,5.5,
98,P,4,4.8,5,3,4,6,4,7.9,9.1,
99,P,0,6,0,0,0,3,2,4.3,0,
100,P,1,10,5,8,5,7,2,7.1,7.3,
101,P,4,9.4,9,0,0,6,4,6.4,7.3,
102,P,0,0,4,4,5,6,6,7.9,4.5,
103,F,0,6,0,0,4,4,0,0,0,
104,P,3,8,3,10,7,4,2,7.1,5.5,
105,P,5,7.6,7,6,6,10,6,7.9,8.2,
106,P,0,8,5,0,5,8,0,7.1,9.1,
107,F,1,6,3,0,3,8,2,6.4,6.4,
108,P,4,10,8,2,5,8,4,8.6,9.1,
109,P,0,2.7,0,1,4,6,0,5,8.2,
110,F,3,8,4,5,3,9,6,7.1,7.3,
111,P,4,8.9,8,5,2,10,4,9.3,9.1,
112,P,3,8.8,4,2,0,10,0,2.1,7.3,
113,F,0,6,4,2,0,6,0,2.9,3.6,
114,F,3,8,5,10,6,7,0,7.1,2.7,
115,F,2,6.1,5,0,0,1,0,0.7,0,
116,P,0,6,5,0,4,5,2,0,0.9,
117,P,1,2.7,4,0,2,6,0,5.7,5.5,
118,P,0,9.4,6,5,4,9,4,8.6,10,
119,P,0,9.6,10,9,3,7,0,8.6,7.3,
120,P,0,4,8,0,5,0,0,0,4.5,
121,P,2,8.2,8,4,5,10,0,8.6,6.4,
122,F,0,2,4,2,7,3,4,2.9,3.6,
123,P,2,10,8,5,4,9,4,9.3,9.1,
124,F,3,4.1,0,0,0,5,0,2.9,1.8,
125,P,1,7.8,9,0,5,10,6,8.6,9.1,
126,P,3,9,6,5,5,8,4,0,3.6,
127,P,5,8.6,4,10,7,10,4,7.9,5.5,
128,F,0,0,0,0,0,0,0,0,0,
129,P,3,9.6,6,2,4,5,6,9.3,9.1,
130,F,0,2,4,1,3,0,2,5.7,2.7,
131,P,3,0,6,2,7,0,0,0,5.5,
132,F,0,0,3,0,5,4,2,5,0,
133,F,0,8.2,0,0,0,0,0,0,0,
134,P,1,6,5,3,4,6,0,9.3,8.2,
135,F,3,2,2,0,0,3,0,2.1,2.7,
136,P,3,6.8,6,6,5,9,6,8.6,7.3,
137,F,0,8.1,4,0,0,2,2,3.6,4.5,
138,P,3,8,7,2,3,7,4,7.9,9.1,
139,P,1,6.1,0,0,0,0,0,0,0,
140,P,4,8,8,5,8,10,2,8.6,9.1,
141,F,4,8,8,2,6,8,0,4.3,0,
142,F,1,10,8,6,5,10,4,9.3,8.2,
143,P,3,9.8,5,1,6,9,2,7.9,9.1,
144,P,3,9.7,6,7,3,7,6,9.3,8.2,
145,F,0,6,4,1,0,0,0,0,0,
146,P,1,8,9,8,5,10,0,7.1,9.1,
147,P,4,0,2,0,3,3,6,7.9,9.1,
148,P,7,10,8,6,5,9,6,9.3,7.3,
149,P,2,8,9,1,6,9,6,8.6,8.2,
150,F,4,10,6,10,6,10,4,9.3,8.2,
151,P,0,2,2,5,6,8,6,4.3,8.2,
152,P,2,8.4,9,10,5,9,8,8.6,0,
153,P,1,6.1,7,0,1,10,2,5.7,5.5,
154,P,3,8.1,3,10,8,9,6,8.6,9.1,
155,P,1,8,4,1,4,8,0,7.9,0,
156,F,1,8,4,1,4,8,4,8.6,6.4,
157,F,0,0,7,3,2,4,0,5,4.5,
158,F,1,8,5,8,5,6,8,0,6.4,
159,P,0,0,8,4,7,3,4,0,7.3,
160,F,2,4.6,6,0,3,7,0,5.7,2.7,
161,P,3,4,8,6,5,8,6,7.1,4.5,
162,P,4,8.3,6,10,1,4,6,7.9,8.2,
163,P,4,7.7,4,0,4,6,4,7.9,5.5,
164,P,1,8,6,1,5,8,6,7.1,5.5,
165,P,0,4,5,2,5,8,0,5.7,7.3,
166,P,0,6,6,0,2,8,0,1.4,4.5,
167,P,4,8,9,5,6,6,4,7.9,9.1,
168,P,1,8.6,5,4,3,7,6,5,10,
169,F,0,0,0,0,1,6,4,7.1,3.6,
170,P,0,0,6,6,4,5,4,5,1.8,
171,F,1,6.6,3,0,3,0,0,0,0.9,
172,P,3,6.9,5,6,2,6,6,7.9,8.2,
173,P,3,10,3,5,6,8,8,5.7,9.1,
174,P,6,9.8,4,6,5,8,6,7.1,5.5,
175,P,7,8.4,5,4,8,9,2,3.6,9.1,
176,P,3,6.6,9,6,6,8,4,0,5.5,
177,P,0,6,4,0,4,10,0,7.9,8.2,
178,P,5,6,6,1,5,8,4,7.9,9.1,
179,F,4,8.8,7,4,3,0,4,7.9,7.3,
180,P,2,0,2,0,5,10,4,9.3,9.1,
181,P,0,6,0,0,4,0,0,2.9,7.3,
182,P,0,6,6,0,7,9,6,5.7,2.7,
183,F,0,0,0,0,0,0,0,0,0,
184,F,0,6,5,0,3,4,0,2.9,7.3,
185,P,3,9.4,5,7,5,8,4,7.1,7.3,
186,P,4,8,5,3,6,8,4,2.1,9.1,
187,F,2,7.6,5,8,5,10,6,9.3,9.1,
188,F,3,2,4,0,4,0,8,9.3,7.3,
189,P,2,4,5,2,6,7,0,7.9,6.4,
190,P,2,0,3,5,5,6,6,7.1,9.1,
191,F,0,0,5,0,0,0,0,0,0,
192,P,0,6,4,0,7,8,4,5,7.3,
193,P,1,4,7,8,3,10,6,5,10,
194,P,0,2,0,1,3,2,0,1.4,0,
195,P,0,4,4,0,1,10,0,5.7,0,
196,P,2,9,8,10,7,9,6,8.6,8.2,
197,P,4,0,5,6,5,9,6,8.6,7.3,
198,P,3,6.8,6,2,2,9,4,9.3,5.5,
199,F,2,2,4,0,2,7,4,5.7,1.8,
200,P,3,6,3,4,5,8,4,0,4.5,
201,F,2,9.8,8,8,7,7,6,8.6,9.1,
202,P,0,2,6,0,0,0,0,0.7,0,
203,F,2,6,0,0,0,5,0,0,0,
204,F,0,8,2,0,0,9,2,7.9,1.8,
205,F,0,0,0,0,0,0,0,0,0,
206,P,4,8,5,10,5,8,4,7.9,9.1,
207,P,7,6.5,8,2,9,6,6,7.9,9.1,
208,P,4,8.9,7,5,1,9,4,0,9.1,
209,P,2,8,8,2,7,8,0,9.3,7.3,
210,P,1,8,5,3,3,10,6,8.6,7.3,
211,P,2,7.2,5,2,4,1,4,6.4,9.1,
212,P,0,8,4,0,2,7,0,5,6.4,
213,P,3,8.6,8,8,7,7,6,8.6,9.1,
214,P,0,0,5,4,5,10,4,6.4,9.1,
215,P,1,4,8,1,3,8,4,7.1,4.5,
216,P,0,4,1,1,0,6,0,0.7,4.5,
217,P,0,6,4,2,1,8,4,2.1,9.1,
218,F,0,0,5,0,0,5,0,5.7,4.5,
219,P,2,2,2,1,0,4,2,2.9,0,
220,P,0,6,7,2,1,3,0,5.7,5.5,
221,P,6,6.1,6,5,5,4,8,5.7,9.1,
222,P,5,6,3,6,5,8,4,2.9,0,
223,F,3,8,5,0,0,7,4,7.9,7.3,
224,F,6,8,5,5,2,7,4,6.4,7.3,
225,P,3,4.3,5,6,5,8,6,7.1,5.5,
226,F,0,0,0,0,0,0,0,0,0,
227,P,3,6,6,0,8,7,4,4.3,9.1,
228,P,7,6,5,3,0,8,4,7.1,5.5,
229,P,4,6.5,0,1,0,0,4,9.3,9.1,
230,F,1,8,6,5,6,9,2,8.6,6.4,
231,F,2,6,1,1,1,0,4,5.7,6.4,
232,P,5,8,6,6,0,9,6,6.4,7.3,
233,F,1,9.8,6,8,5,10,6,7.1,9.1,
234,P,2,6,5,0,5,10,4,8.6,9.1,
235,F,0,6,3,1,3,3,0,2.1,4.5,
236,P,1,4,6,1,3,8,4,5.7,7.3,
237,P,2,8,9,4,4,7,6,7.1,8.2,
238,P,1,6.8,7,2,0,9,4,9.3,7.3,
239,F,1,6,4,1,4,8,0,5.7,6.4,
240,P,3,6,6,0,5,6,4,7.9,3.6,
241,F,3,2.6,4,0,2,5,0,3.6,1.8,
242,P,1,8.2,7,5,6,7,6,0,9.1,
243,F,0,6,6,1,3,4,0,5.7,5.5,
244,P,1,7.6,6,6,0,9,4,6.4,5.5,
245,F,0,0,0,0,8,0,0,0,0,
246,P,0,4,4,6,4,9,2,5,5.5,
247,P,4,4.1,6,2,6,0,8,6.4,9.1,
248,P,0,8,5,3,5,10,6,2.1,10,
249,F,3,6,0,2,4,9,0,5,3.6,
250,F,3,8,8,6,7,7,4,9.3,9.1,
251,P,3,8.3,2,4,3,6,0,7.9,7.3,
252,F,0,6,5,8,5,6,8,9.3,6.4,
253,P,2,4,8,1,8,9,4,5.7,5.5,
254,P,3,9.2,6,10,8,8,4,6.4,9.1,
255,F,0,6.2,2,0,5,3,0,0,1.8,
256,P,0,4,2,0,6,8,4,2.9,9.1,
257,P,0,6,3,6,0,0,4,0,2.7,
258,F,0,0,0,0,0,0,0,0,0,
259,P,3,9,5,5,4,7,2,9.3,10,
260,P,5,10,4,4,5,8,6,5.7,8.2,
261,F,3,8,4,1,1,8,0,8.6,5.5,
262,F,0,0,0,0,0,0,0,0,0,
263,F,0,4.1,7,1,5,6,0,0,9.1,
264,P,3,6,7,2,2,0,0,5,0,
265,P,4,8,0,2,5,9,4,9.3,7.3,
266,P,1,0,1,0,1,10,0,0,0,
267,F,2,4,6,1,3,8,4,5.7,7.3,